"Longitude","Latitude","HousingMedianAge","TotalRooms","TotalBedrooms","Population","Households","MedianIncome","MedianHouseValue","OceanProximity"
-122.5,37.77,52,1769,414,1032,380,3.9954,324.7,"NEAR BAY"
-118.42,34.12,27,2089,303,654,270,12.3767,500.001,"<1H OCEAN"
-117.89,33.92,34,1473,312,1025,315,3.8333,170.4,"<1H OCEAN"
-118.15,33.92,40,1335,281,804,282,4.3194,198.4,"<1H OCEAN"
-118.36,34.08,52,1902,488,848,478,2.9621,175,"<1H OCEAN"
-117.28,34.13,44,2469,568,1363,517,1.8396,77.1,"INLAND"
-118.33,34.04,48,2437,443,1400,426,2.628,251.1,"<1H OCEAN"
-117.93,33.65,27,1283,406,1063,376,2.75,275,"<1H OCEAN"
-116.43,33.75,24,2596,438,473,237,3.7727,500.001,"INLAND"
-120.19,39.35,7,2611,395,482,159,5.0622,174.1,"INLAND"
-118.92,36.04,28,1148,233,521,212,2.9208,98.5,"INLAND"
-118.02,33.92,35,2075,424,1312,396,3.7969,164.8,"<1H OCEAN"
-116.95,33.31,16,2921,639,1838,540,2.2393,117,"<1H OCEAN"
-121.6,39.83,12,3744,699,1532,660,2.3079,95.3,"INLAND"
-121.97,37.24,35,2553,533,1117,498,4.4063,436.1,"<1H OCEAN"
-121.84,38.65,29,3167,548,1554,534,4.3487,200.7,"INLAND"
-122.02,37.33,25,3823,584,1689,571,7.3693,373.6,"<1H OCEAN"
-120.2,39.12,15,2146,361,197,76,4.1316,200,"INLAND"
-117.91,34.1,28,3694,722,1999,718,3.2813,181.1,"<1H OCEAN"
-118.29,34.08,34,479,182,557,170,1.525,210,"<1H OCEAN"
-121.93,37.25,32,1555,287,779,284,6.0358,260.1,"<1H OCEAN"
-122.33,37.58,40,2362,468,992,425,4.7917,359.9,"NEAR OCEAN"
-117.13,32.71,35,614,180,691,164,1.6953,81.3,"NEAR OCEAN"
-118.1,33.83,36,1408,250,702,251,4.875,222.5,"<1H OCEAN"
-121.3,38.09,31,335,53,154,55,2.0694,175,"INLAND"
-118.37,33.81,33,5057,790,2021,748,6.8553,482.2,"NEAR OCEAN"
-120.01,38.93,22,3080,610,1045,425,2.996,126.1,"INLAND"
-118.31,33.81,23,3942,748,1679,711,4.1169,362.6,"<1H OCEAN"
-116.51,33.96,16,4913,1395,2518,1132,1.4665,61.1,"INLAND"
-117.25,33.2,10,2050,473,1302,471,2.7961,131.3,"<1H OCEAN"
-121.45,38.56,52,3420,555,1301,530,4.0417,173.8,"INLAND"
-118.42,34.05,52,2533,402,981,386,7.8164,500.001,"<1H OCEAN"
-118.28,34.01,34,2305,775,2450,740,1.7143,132,"<1H OCEAN"
-118.41,34.19,42,779,145,450,148,3.9792,193.8,"<1H OCEAN"
-121.58,39.52,25,2409,490,1384,479,1.9956,58,"INLAND"
-118.53,34.14,28,6920,906,2515,860,9.2189,500.001,"<1H OCEAN"
-122.73,38.42,26,1446,296,884,295,4.3523,150,"<1H OCEAN"
-117.08,32.64,38,917,256,494,233,1.9241,150,"NEAR OCEAN"
-117.2,33.29,12,6358,1182,2778,1020,4.0357,295.9,"<1H OCEAN"
-119.69,36.43,29,1799,356,1278,387,1.7813,57.9,"INLAND"
-117.93,33.83,32,1792,411,1131,381,2.4942,186.3,"<1H OCEAN"
-117.87,33.87,16,1332,368,1534,295,3.0227,297.1,"<1H OCEAN"
-120.06,39.15,22,2213,372,98,42,1.1912,170,"INLAND"
-121.97,37.26,19,2174,454,998,426,4.6827,255.1,"<1H OCEAN"
-122.02,37.34,26,1992,328,980,342,6.2475,350,"<1H OCEAN"
-117.08,32.82,16,1787,236,770,228,7.1298,278.6,"<1H OCEAN"
-121.08,38.85,10,2509,422,1037,389,6,220.1,"INLAND"
-122.32,37.57,42,2574,614,2377,588,3.2891,237.9,"NEAR OCEAN"
-122.62,38.73,21,1425,323,727,287,2.1474,85.3,"INLAND"
-122.09,37.4,22,1489,436,662,470,3.5179,197.2,"NEAR BAY"
-119.85,36.83,15,2563,335,1080,356,6.7181,160.3,"INLAND"
-118.32,33.9,36,1741,412,1245,423,4.1344,210.3,"<1H OCEAN"
-118.14,34.03,38,1447,293,1042,284,4.1375,211.5,"<1H OCEAN"
-121.35,38.7,5,14414,2979,7608,2832,3.5802,129.6,"INLAND"
-121.99,36.98,19,5613,1321,3018,1268,3.1914,215.6,"NEAR OCEAN"
-122.43,37.77,52,2714,779,1438,733,3.6031,275,"NEAR BAY"
-119.77,36.76,43,1945,413,1492,422,1.5174,54.6,"INLAND"
-117,32.71,22,2263,441,1395,416,3.725,123.5,"NEAR OCEAN"
-121.94,37,32,2210,426,1082,396,4.1587,315.2,"NEAR OCEAN"
-122.01,38.44,12,2344,354,1035,321,4.9773,281.2,"INLAND"
-122.06,37.85,17,7475,1556,2092,1449,3.6437,186.5,"NEAR BAY"
-121.32,37.94,36,40,10,64,14,2.625,55,"INLAND"
-122.83,38.99,15,289,49,191,54,1.6833,113.9,"INLAND"
-118.37,33.97,32,6699,1781,2725,1544,3.3889,285.7,"<1H OCEAN"
-118.41,34.2,32,2734,654,2209,610,3.5164,217.2,"<1H OCEAN"
-117.24,32.79,18,2539,616,964,526,3.4306,275,"NEAR OCEAN"
-118.17,33.87,45,2110,494,1404,454,2.9803,165.9,"<1H OCEAN"
-122.49,37.74,52,2442,449,1188,436,4.3909,317.7,"NEAR OCEAN"
-122.5,37.74,45,1771,349,1098,342,3.7552,296.6,"NEAR OCEAN"
-116.33,33.72,11,12327,2000,2450,1139,7.4382,353.1,"INLAND"
-118.13,34.09,21,3862,1186,2773,1102,2.7816,188.2,"<1H OCEAN"
-117.03,32.72,38,886,176,505,188,3.5938,125.4,"NEAR OCEAN"
-122.29,38.31,45,3075,754,1635,723,2.2721,139.8,"NEAR BAY"
-118.16,33.91,35,1403,338,1415,367,3.0967,144,"<1H OCEAN"
-118.74,34.27,23,2493,522,1488,505,4.18,215,"<1H OCEAN"
-121.35,38.01,15,2682,599,1520,601,3.5982,94.4,"INLAND"
-121.97,37.79,16,3873,484,1451,501,6.7857,341.3,"<1H OCEAN"
-122.22,37.48,34,1541,584,1564,558,2.56,250,"NEAR OCEAN"
-117.92,33.83,36,1072,193,639,196,5.0275,179.3,"<1H OCEAN"
-121.3,38.58,16,1537,NA,1125,375,2.6471,90.7,"INLAND"
-122.44,37.8,52,1603,487,727,464,3.9856,500.001,"NEAR BAY"
-122.13,37.45,37,1287,197,510,206,7.9029,500.001,"NEAR BAY"
-122.24,37.55,3,6164,1175,2198,975,6.7413,435.9,"NEAR BAY"
-122.44,37.75,28,4930,1381,2232,1321,4.3232,316.2,"NEAR BAY"
-122.35,37.95,42,1485,290,971,303,3.6094,114.6,"NEAR BAY"
-119.68,36.31,12,2739,535,1859,498,2.9936,60.6,"INLAND"
-118.14,33.89,33,2867,786,1774,705,2.9292,183.4,"<1H OCEAN"
-122.27,37.98,23,3455,479,1375,474,6.0289,218.6,"NEAR BAY"
-118.49,34.19,23,2087,571,1809,553,3.1667,202,"<1H OCEAN"
-121.08,39.02,13,1839,275,752,270,4.2031,209.6,"INLAND"
-114.31,34.19,15,5612,1283,1015,472,1.4936,66.9,"INLAND"
-118.45,37.37,26,3135,524,1385,523,4.337,139.7,"INLAND"
-118.04,34.09,34,2001,388,1461,397,3.8304,183,"INLAND"
-119.47,36.69,19,3351,589,1578,542,3.2917,160.1,"INLAND"
-117.96,33.85,36,1951,365,1254,358,4.8438,185.7,"<1H OCEAN"
-122.28,37.79,30,4145,869,3668,855,2.5444,275,"NEAR BAY"
-117.87,34.08,33,4518,716,2037,764,5.6015,267.2,"<1H OCEAN"
-117.23,32.75,11,4304,1245,1960,1105,3.3456,159.8,"NEAR OCEAN"
-117.65,34.02,9,2107,411,1138,389,4.4042,159.1,"INLAND"
-117.64,34.08,33,1987,455,1369,475,2.4464,122.6,"INLAND"
-122.14,37.68,27,3337,613,1489,607,3.6364,219.2,"NEAR BAY"
-122.44,37.78,52,2911,753,1696,676,2.5721,475,"NEAR BAY"
-122.57,37.99,38,5587,996,2466,1027,4.1711,336.9,"NEAR BAY"
-118.08,33.84,28,4216,948,2997,896,3.7961,162.7,"<1H OCEAN"
-117.3,34.11,42,525,111,444,120,2.6771,67,"INLAND"
-118.56,34.19,35,782,144,425,140,5.4548,201.4,"<1H OCEAN"
-117.76,34.06,47,508,108,384,86,1.9583,92.6,"INLAND"
-122.47,37.7,45,3290,693,2466,666,3.6588,238.6,"NEAR OCEAN"
-118.23,34.21,50,309,47,121,45,6.213,285,"<1H OCEAN"
-120.4,37.98,19,2010,433,910,390,2.6696,121.2,"INLAND"
-117.23,34.13,10,1145,293,726,251,1.645,68.7,"INLAND"
-121.88,37.37,14,6016,1404,3258,1316,3.5745,333.7,"<1H OCEAN"
-120.63,35.13,16,2680,704,975,619,1.7878,55,"<1H OCEAN"
-122.22,37.37,26,440,202,322,218,5.1831,350,"NEAR OCEAN"
-118.4,33.98,36,2526,452,996,441,5.611,456.6,"<1H OCEAN"
-117.13,32.75,23,3999,1182,2051,1130,2.1292,135,"NEAR OCEAN"
-118.26,34.02,38,980,285,1308,310,1.5652,123.1,"<1H OCEAN"
-119.51,34.4,24,3422,596,1763,601,5.2039,301.3,"NEAR OCEAN"
-118.33,34.01,43,2227,564,956,472,2.0217,187.5,"<1H OCEAN"
-120.69,35.28,26,4225,886,1795,704,2.2847,247,"NEAR OCEAN"
-118.27,33.94,39,2078,561,1901,504,1.1468,96.9,"<1H OCEAN"
-118.36,33.8,38,2553,400,1042,393,6.9742,500.001,"NEAR OCEAN"
-122.14,37.45,48,2074,297,700,279,8.7051,500.001,"NEAR BAY"
-118.13,33.79,29,2937,524,1132,528,4.6133,500.001,"NEAR OCEAN"
-118.58,34.2,37,1389,252,826,249,5.015,220.9,"<1H OCEAN"
-123.79,39.5,24,1421,291,588,274,2.325,157.3,"<1H OCEAN"
-120.95,37.61,17,4054,654,2034,667,4.6833,142.2,"INLAND"
-117.9,34.06,33,1330,209,578,192,5.6406,266.2,"<1H OCEAN"
-117.59,33.61,3,2993,429,991,390,10.0765,378.2,"<1H OCEAN"
-117.21,32.75,15,1716,702,914,672,1.0612,300,"NEAR OCEAN"
-122.43,37.79,52,3020,842,1294,769,3.4375,500.001,"NEAR BAY"
-117.97,33.75,32,1564,270,973,290,3.75,190.4,"<1H OCEAN"
-119.32,36.2,25,1427,246,772,221,2.2262,64.5,"INLAND"
-121.18,37.79,16,1326,286,509,297,1.9464,112.5,"INLAND"
-122.64,38.25,31,2554,515,1507,533,3.8,162.6,"<1H OCEAN"
-117.77,34.12,15,4260,770,2007,695,4.4609,230,"INLAND"
-122.53,37.89,35,4127,689,1596,707,5.9073,400.4,"NEAR BAY"
-122.47,37.76,52,2941,783,1545,726,2.9899,406.5,"NEAR BAY"
-118.26,34.16,18,1775,525,950,522,3.5417,177.1,"<1H OCEAN"
-118.28,33.85,27,489,98,403,97,5.144,180.8,"<1H OCEAN"
-121.92,37.31,13,6035,1551,2946,1481,4.0524,213.9,"<1H OCEAN"
-122.17,39.31,35,2791,552,1395,476,2.5625,62.7,"INLAND"
-118.29,33.98,42,2833,768,2542,725,1.3479,100,"<1H OCEAN"
-118.87,35.65,33,1504,325,584,223,3.4792,94.6,"INLAND"
-122.19,37.47,44,1371,263,589,301,4.8068,312.3,"NEAR BAY"
-118.09,34,35,1580,331,1290,338,4.1458,162.5,"<1H OCEAN"
-122.08,37.88,26,2947,NA,825,626,2.933,85,"NEAR BAY"
-118.24,34.03,52,142,47,137,45,1.8333,312.5,"<1H OCEAN"
-117.14,32.83,25,2161,462,896,468,2.2284,177.5,"NEAR OCEAN"
-117.35,33.98,31,4163,1242,3928,1076,1.6943,85.9,"INLAND"
-119.2,35.37,6,7383,1095,3415,1059,5.3119,157.3,"INLAND"
-121.46,38.57,52,1917,367,722,358,3.1484,158.9,"INLAND"
-117.86,34.09,26,3408,542,1664,543,6.1498,239.1,"<1H OCEAN"
-122.47,37.72,47,1176,286,564,258,3.2059,350,"NEAR OCEAN"
-122.52,37.98,31,6555,1571,2962,1464,2.8903,324.2,"NEAR BAY"
-118.17,33.84,45,1533,331,791,335,3.4605,186.6,"<1H OCEAN"
-122.56,37.98,36,2649,542,1111,557,4.8056,345.7,"NEAR BAY"
-121.42,38.61,34,1126,256,589,243,2.1776,84.4,"INLAND"
-118.48,34.01,31,2851,804,1410,782,4.0893,381.5,"<1H OCEAN"
-119.73,34.42,25,2024,312,907,335,5.4127,392.8,"NEAR OCEAN"
-121.79,38.68,24,3794,848,2225,864,2.8068,95.3,"INLAND"
-121,37.25,21,1937,389,1002,373,2.6087,96.2,"INLAND"
-121.37,38.56,19,6308,1167,3012,1112,2.9464,113.5,"INLAND"
-121.4,38.61,33,3512,825,1515,782,1.9908,118.8,"INLAND"
-117.95,34.05,34,1428,227,890,249,5.8722,204.8,"<1H OCEAN"
-118.06,33.99,45,1471,255,670,250,4.5478,188,"<1H OCEAN"
-122.31,37.94,38,1794,349,810,335,3.8343,191.4,"NEAR BAY"
-122.26,38.36,25,1821,344,349,179,6.9931,398.8,"INLAND"
-118.14,34.13,16,3569,821,1505,783,4.9167,251.1,"<1H OCEAN"
-118.5,34.21,36,1656,310,817,308,5.5675,215.9,"<1H OCEAN"
-118.18,33.8,30,2734,758,2951,691,1.7689,117.6,"NEAR OCEAN"
-119.67,36.81,4,1262,216,622,199,4.9432,114.4,"INLAND"
-123.21,39.2,17,3145,693,1560,647,2.2926,149.3,"<1H OCEAN"
-118,33.83,24,2578,580,1217,529,2.2401,212.5,"<1H OCEAN"
-117.88,34.12,35,1574,276,1088,289,4.0938,165.3,"<1H OCEAN"
-117.9,34.13,37,1801,422,1564,425,3.1597,133,"<1H OCEAN"
-121.95,37.35,42,1421,330,659,303,3.3333,237.9,"<1H OCEAN"
-116.25,33.81,24,880,187,507,169,3.4583,67.5,"INLAND"
-118.46,34.25,33,2202,433,1135,407,4.2143,224.2,"<1H OCEAN"
-117.87,33.88,25,1808,440,1342,454,3.025,156.9,"<1H OCEAN"
-119.6,37.29,13,1722,325,712,269,2.625,137.5,"INLAND"
-118.07,33.72,32,1179,250,369,209,5.1824,500.001,"NEAR OCEAN"
-118.03,34.11,34,2837,460,1344,458,6.5722,437.4,"INLAND"
-117.03,32.82,16,1765,289,743,280,4.9744,209.7,"<1H OCEAN"
-121.57,36.98,14,5231,817,2634,799,4.9702,279.8,"INLAND"
-123.68,40.24,31,1852,452,917,359,1.725,54.3,"<1H OCEAN"
-119.44,36.6,34,864,184,579,171,2.0417,72.5,"INLAND"
-117.17,32.78,42,1104,305,892,270,2.2768,145.2,"NEAR OCEAN"
-122.25,38.11,49,2365,504,1131,458,2.6133,103.1,"NEAR BAY"
-120.79,38.54,34,1133,254,495,187,2.05,68.9,"INLAND"
-122.49,37.78,42,2723,579,1419,519,3.6429,328.4,"NEAR BAY"
-118.04,33.94,37,1328,273,1115,275,4.2051,164.4,"<1H OCEAN"
-122.27,37.86,52,1769,372,849,365,2.6914,218.8,"NEAR BAY"
-117.92,33.94,27,4566,620,2045,664,5.583,267.7,"<1H OCEAN"
-117.8,34.1,13,2996,495,1187,464,6.2456,161.7,"INLAND"
-122.17,39.92,16,1566,306,652,287,1.9038,60.8,"INLAND"
-117.44,34.45,6,6068,1137,3094,947,3.5167,130.9,"INLAND"
-121.91,37.47,13,5377,744,2759,760,6.868,337.3,"<1H OCEAN"
-117.43,34.07,18,2453,537,1503,500,2.3768,95.3,"INLAND"
-118.48,34,41,2584,743,1058,668,3.2061,370,"<1H OCEAN"
-117.92,34.08,35,1897,311,965,323,5.7039,199.4,"<1H OCEAN"
-124.17,40.8,52,1557,344,758,319,1.8529,62.5,"NEAR OCEAN"
-118.32,34.62,31,1398,273,884,299,4.8409,264.9,"INLAND"
-122.4,40.57,23,1321,259,749,222,1.655,90.1,"INLAND"
-121.22,38.04,42,343,50,116,49,5.5376,212.5,"INLAND"
-117.7,33.64,15,5743,773,2380,773,8.1926,326.6,"<1H OCEAN"
-117.76,33.87,16,3973,595,1971,575,6.4265,263.7,"<1H OCEAN"
-117.46,34.07,19,3155,572,2482,642,2.9973,113.4,"INLAND"
-120.98,37.68,27,4006,762,1806,718,3.1848,112.8,"INLAND"
-119.7,34.43,52,1364,460,804,400,2.375,293.8,"<1H OCEAN"
-122.2,39.52,39,2551,482,1181,437,2.0625,63.4,"INLAND"
-121.93,37.27,35,1855,345,985,329,6.0196,255.1,"<1H OCEAN"
-119.04,36.09,15,2288,401,1238,429,3.0278,77.4,"INLAND"
-118.31,34.02,43,2255,533,1568,470,1.6955,115.2,"<1H OCEAN"
-121.55,38.59,36,435,95,285,90,1.2292,69.6,"INLAND"
-121.48,38.56,50,1587,448,877,380,2.0833,94.3,"INLAND"
-118.26,34.14,29,3431,1222,4094,1205,2.2614,248.1,"<1H OCEAN"
-122.25,37.46,33,6841,950,2681,980,7.1088,443.3,"NEAR OCEAN"
-121.04,37.65,8,1959,379,995,365,3.3567,129.1,"INLAND"
-122.49,37.59,35,2683,475,1498,484,5.1282,262.5,"NEAR OCEAN"
-118.39,34.09,28,2347,608,785,548,4.4167,425,"<1H OCEAN"
-122.84,38.07,31,1858,367,701,297,3.8269,270.7,"NEAR OCEAN"
-118.34,34.17,49,3033,580,1284,561,4.1161,232.5,"<1H OCEAN"
-117.72,33.61,26,2033,463,618,450,2.5685,80.4,"<1H OCEAN"
-122.48,38.5,37,3049,NA,1287,439,4.3125,276.5,"INLAND"
-117.88,33.76,17,1768,474,1079,436,1.7823,205.3,"<1H OCEAN"
-121.5,38.49,32,4013,725,2032,675,3.3689,83.4,"INLAND"
-122.15,37.69,36,1501,287,703,276,3.8864,197.3,"NEAR BAY"
-118.1,34.01,42,1436,298,1005,298,3.4297,195.8,"<1H OCEAN"
-122.3,37.87,10,503,118,228,100,2.1705,150,"NEAR BAY"
-118.21,33.95,35,2129,614,2376,618,2.0372,160.8,"<1H OCEAN"
-118.54,36.12,11,4103,882,356,171,2.1029,99.1,"INLAND"
-122.91,39.07,21,2202,484,1000,381,2.4423,102.3,"INLAND"
-121.62,39.15,36,2321,455,1168,489,3.0962,74,"INLAND"
-122.27,37.85,47,2077,400,719,326,2.2431,172.7,"NEAR BAY"
-122.2,37.43,40,2223,412,1050,417,5.2421,444.5,"NEAR OCEAN"
-122.02,37.6,32,1295,295,1097,328,3.2386,149.6,"NEAR BAY"
-122.28,37.87,52,1233,300,571,292,2.2788,182.3,"NEAR BAY"
-121.1,38.33,14,1357,247,695,224,4.1974,157.8,"INLAND"
-122.21,37.81,52,1389,212,510,224,5.2402,296.4,"NEAR BAY"
-117.81,34.01,12,9197,1642,4332,1554,4.9589,282.1,"<1H OCEAN"
-122.41,37.8,52,3278,775,1279,709,5.4378,500.001,"NEAR BAY"
-120.79,38.43,40,1391,246,546,214,3.9107,129.8,"INLAND"
-121.23,37.95,36,811,168,514,152,2.625,89.2,"INLAND"
-117.12,32.75,15,2671,724,1800,646,2.1394,106.7,"NEAR OCEAN"
-122.31,37.55,45,507,140,305,139,2.6159,272.9,"NEAR OCEAN"
-122.3,37.53,37,1338,215,535,221,5.4351,376.6,"NEAR OCEAN"
-116.92,32.82,34,1765,284,772,282,5.0118,165.3,"<1H OCEAN"
-118.37,34.09,24,630,172,257,147,5.5224,400,"<1H OCEAN"
-122.32,37.97,33,1595,292,991,300,4.6937,134.1,"NEAR BAY"
-120.46,37.51,22,2704,497,1432,399,2.9,83.1,"INLAND"
-118.38,33.81,20,1975,306,703,292,8.5491,410.3,"NEAR OCEAN"
-121.95,37.74,19,1127,170,518,167,6.3325,250,"<1H OCEAN"
-121.61,39.77,25,1612,313,837,303,2.963,89.5,"INLAND"
-121.38,38.69,35,2943,554,1460,510,2.6713,84.4,"INLAND"
-118.15,33.93,42,1839,346,1034,339,4.9808,212.3,"<1H OCEAN"
-118.28,34.03,45,943,289,953,238,2.0673,151.6,"<1H OCEAN"
-119.8,36.72,43,1286,360,972,345,0.9513,50.4,"INLAND"
-121.95,37.33,31,1866,465,821,447,2.3547,275.9,"<1H OCEAN"
-122.44,37.78,52,1118,279,514,284,2.4196,346.2,"NEAR BAY"
-118.12,34,31,3281,768,2385,733,2.7308,173.8,"<1H OCEAN"
-118.51,34.11,29,9013,1117,2919,1061,13.947,500.001,"<1H OCEAN"
-117.67,33.56,4,3289,728,1345,632,4.6863,184.4,"<1H OCEAN"
-117.25,33.38,17,1614,431,1031,389,2.0956,134.4,"<1H OCEAN"
-117.29,34.57,22,1054,239,428,239,1.2548,68.3,"INLAND"
-117.69,33.55,9,3856,571,1646,576,6.8007,318.3,"<1H OCEAN"
-117.8,33.85,16,4151,637,1558,604,5.806,304.9,"<1H OCEAN"
-122.27,41.2,52,4513,985,1926,815,1.5923,56,"INLAND"
