"Day","Month","Year","Rented.Bike.Count","Hour","Temperature","Humidity","Wind.Speed.ms","Visibility.10m","Dew.Point.Temperature","Solar.Radiation","Rainfall.mm","Snowfall.cm","Holiday"
"01","04",2020,983,21,16.9,81,1.9,472,13.6,0,0,0,"No Holiday"
"01","04",2020,841,22,16.7,83,2.4,416,13.7,0,0,0,"No Holiday"
"01","04",2020,588,23,16.3,82,1.3,480,13.2,0,0,0,"No Holiday"
"02","04",2020,468,0,16.1,80,1.9,605,12.6,0,0,0,"No Holiday"
"02","04",2020,295,1,16,79,1,716,12.3,0,0,0,"No Holiday"
"02","04",2020,155,2,15.7,81,1.4,694,12.4,0,0,0,"No Holiday"
"02","04",2020,111,3,15.6,81,1.2,628,12.3,0,0,0,"No Holiday"
"02","04",2020,86,4,15.7,79,1.2,628,12,0,0,0,"No Holiday"
"02","04",2020,125,5,15.3,82,1.4,508,12.2,0,0,0,"No Holiday"
"02","04",2020,359,6,14.9,81,0.4,580,11.6,0,0,0,"No Holiday"
"02","04",2020,918,7,15.1,80,1,623,11.6,0.01,0,0,"No Holiday"
"02","04",2020,1469,8,15.7,75,1.1,804,11.2,0.11,0,0,"No Holiday"
"02","04",2020,806,9,16.6,70,1.5,945,11,0.3,0,0,"No Holiday"
"02","04",2020,579,10,17.5,66,1.3,1059,11,0.55,0,0,"No Holiday"
"02","04",2020,662,11,18.5,61,1.6,1301,10.8,0.95,0,0,"No Holiday"
"02","04",2020,818,12,20.8,50,2,1240,9.9,1.82,0,0,"No Holiday"
"02","04",2020,818,13,21.9,48,2.5,1113,10.3,2.14,0,0,"No Holiday"
"02","04",2020,920,14,23,42,3.4,1315,9.3,2.1,0,0,"No Holiday"
"02","04",2020,993,15,23.7,43,2.8,1347,10.3,2.28,0,0,"No Holiday"
"02","04",2020,1218,16,23,47,4.1,1417,11,2,0,0,"No Holiday"
"02","04",2020,1569,17,22,49,3.7,1582,10.7,1.28,0,0,"No Holiday"
"02","04",2020,2401,18,20.7,54,4.1,1484,11,0.5,0,0,"No Holiday"
"02","04",2020,1779,19,19.1,60,3.4,1592,11.1,0.1,0,0,"No Holiday"
"02","04",2020,1517,20,18.2,65,1.8,1563,11.5,0,0,0,"No Holiday"
"02","04",2020,1503,21,17.9,64,2.1,1652,10.9,0,0,0,"No Holiday"
"02","04",2020,1213,22,17.4,66,2.3,1565,10.9,0,0,0,"No Holiday"
"02","04",2020,803,23,16.8,70,0.9,1426,11.2,0,0,0,"No Holiday"
"03","04",2020,532,0,16.8,69,0.8,1395,11,0,0,0,"No Holiday"
"03","04",2020,430,1,17.1,72,1.7,1353,12,0,0,0,"No Holiday"
"03","04",2020,275,2,17,73,1.6,1184,12.1,0,0,0,"No Holiday"
"03","04",2020,156,3,17,74,1.7,1294,12.3,0,0,0,"No Holiday"
"03","04",2020,124,4,16.9,74,1.2,1199,12.2,0,0,0,"No Holiday"
"03","04",2020,163,5,16.9,73,1.6,1275,12,0,0,0,"No Holiday"
"03","04",2020,388,6,16.8,74,1.2,1265,12.1,0,0,0,"No Holiday"
"03","04",2020,1033,7,16.8,73,1,1366,11.9,0.01,0,0,"No Holiday"
"03","04",2020,1677,8,17.3,71,0.5,1481,11.9,0.17,0,0,"No Holiday"
"03","04",2020,867,9,18.3,67,2.4,1375,12,0.55,0,0,"No Holiday"
"03","04",2020,664,10,18.9,66,2,1298,12.4,0.85,0,0,"No Holiday"
"03","04",2020,696,11,19,67,1.9,1062,12.7,0.52,0,0,"No Holiday"
"03","04",2020,913,12,19.6,63,2.9,1034,12.3,0.68,0,0,"No Holiday"
"03","04",2020,870,13,20.1,61,2.6,1117,12.3,1.01,0,0,"No Holiday"
"03","04",2020,931,14,21,53,3.2,1306,11,1.12,0,0,"No Holiday"
"03","04",2020,961,15,19.9,58,2.5,1348,11.3,0.51,0,0,"No Holiday"
"03","04",2020,1173,16,19.7,58,3.7,1302,11.1,0.78,0,0,"No Holiday"
"03","04",2020,1436,17,19.7,57,2.6,1302,10.9,0.54,0,0,"No Holiday"
"03","04",2020,2134,18,18.9,68,3.3,1326,12.8,0.12,0,0,"No Holiday"
"03","04",2020,1415,19,18,74,3.1,1258,13.2,0.02,0,0,"No Holiday"
"03","04",2020,1470,20,17.3,80,2.4,927,13.8,0,0,0,"No Holiday"
"03","04",2020,1223,21,17,83,3.2,744,14,0,0,0,"No Holiday"
"03","04",2020,1030,22,16,85,2,409,13.4,0,0,0,"No Holiday"
"03","04",2020,454,23,15,94,1.6,163,14,0,0,0,"No Holiday"
"04","04",2020,355,0,15,96,2.1,141,14.3,0,0.1,0,"No Holiday"
"04","04",2020,113,1,14.8,96,1.7,209,14.1,0,0,0,"No Holiday"
"04","04",2020,15,2,14.5,97,2.2,179,14,0,3.5,0,"No Holiday"
"04","04",2020,22,3,14.3,97,1.2,228,13.8,0,7,0,"No Holiday"
"04","04",2020,14,4,14.1,97,1.7,306,13.6,0,3,0,"No Holiday"
"04","04",2020,19,5,11.9,97,3.4,305,11.4,0,3,0,"No Holiday"
"04","04",2020,172,6,11.7,95,0.7,2000,10.9,0,2,0,"No Holiday"
"04","04",2020,665,7,10.3,90,1.2,2000,8.7,0.01,0,0,"No Holiday"
"04","04",2020,1284,8,10.3,86,2.5,2000,8,0.15,0,0,"No Holiday"
"04","04",2020,378,9,10.4,81,1.4,2000,7.2,0.36,0,0,"No Holiday"
"04","04",2020,505,10,10.7,81,1.4,2000,7.5,0.57,0,0,"No Holiday"
"04","04",2020,744,11,12.8,65,2,2000,6.3,1.76,0,0,"No Holiday"
"04","04",2020,928,12,15.3,54,2.1,1989,6,2.83,0,0,"No Holiday"
"04","04",2020,951,13,16.7,47,1.4,2000,5.3,3.24,0,0,"No Holiday"
"04","04",2020,1096,14,17.9,42,1.3,1981,4.7,3.04,0,0,"No Holiday"
"04","04",2020,1209,15,17.9,44,2.2,2000,5.4,2.79,0,0,"No Holiday"
"04","04",2020,1413,16,17.9,42,1.1,2000,4.7,2.25,0,0,"No Holiday"
"04","04",2020,1745,17,17.2,46,2.2,2000,5.4,1.6,0,0,"No Holiday"
"04","04",2020,2402,18,16,47,2.1,2000,4.6,0.79,0,0,"No Holiday"
"04","04",2020,1626,19,14.3,53,2.1,2000,4.8,0.17,0,0,"No Holiday"
"04","04",2020,1374,20,12.8,56,2,2000,4.2,0,0,0,"No Holiday"
"04","04",2020,1256,21,11.8,57,1.9,2000,3.5,0,0,0,"No Holiday"
"04","04",2020,1041,22,10.9,58,1.5,2000,2.9,0,0,0,"No Holiday"
"04","04",2020,668,23,10.2,58,2.4,2000,2.2,0,0,0,"No Holiday"
"05","04",2020,436,0,9.5,61,1.7,2000,2.3,0,0,0,"No Holiday"
"05","04",2020,373,1,9,62,1.9,2000,2,0,0,0,"No Holiday"
"05","04",2020,220,2,9,63,2.1,2000,2.3,0,0,0,"No Holiday"
"05","04",2020,150,3,8.9,64,2.2,2000,2.4,0,0,0,"No Holiday"
"05","04",2020,87,4,8.8,65,2.5,2000,2.5,0,0,0,"No Holiday"
"05","04",2020,18,5,8.3,81,2,1060,5.2,0,0.1,0,"No Holiday"
"05","04",2020,21,6,7.5,94,2.4,511,6.5,0,0.4,0,"No Holiday"
"05","04",2020,38,7,7.1,94,2.2,572,6.1,0,1.5,0,"No Holiday"
"05","04",2020,207,8,6.7,94,2.7,1127,5.7,0.05,2,0,"No Holiday"
"05","04",2020,129,9,6.8,89,2.9,2000,5.1,0.07,0,0,"No Holiday"
"05","04",2020,95,10,7.1,87,2.9,2000,5,0.15,0,0,"No Holiday"
"05","04",2020,47,11,7.1,93,2.6,697,6,0.19,0,0,"No Holiday"
"05","04",2020,70,12,7.3,95,2.2,676,6.5,0.3,0.5,0,"No Holiday"
"05","04",2020,84,13,7.7,95,1.9,442,6.9,0.4,0,0,"No Holiday"
"05","04",2020,46,14,8,95,1.5,514,7.2,0.35,0,0,"No Holiday"
"05","04",2020,37,15,8.1,96,1.9,410,7.4,0.26,0.5,0,"No Holiday"
"05","04",2020,31,16,8.1,96,1.5,281,7.4,0.21,1,0,"No Holiday"
"05","04",2020,46,17,8,96,1.4,298,7.3,0.13,1,0,"No Holiday"
"05","04",2020,75,18,7.6,96,2,660,6.9,0.04,0,0,"No Holiday"
"05","04",2020,75,19,7.6,96,1.5,1309,6.9,0,1.5,0,"No Holiday"
"05","04",2020,56,20,7.3,96,1.9,2000,6.6,0,0,0,"No Holiday"
"05","04",2020,99,21,7.3,96,1.5,749,6.6,0,1,0,"No Holiday"
"05","04",2020,77,22,7.2,96,1,700,6.5,0,0,0,"No Holiday"
"05","04",2020,79,23,7.1,96,1.3,1497,6.5,0,0.5,0,"No Holiday"
"06","04",2020,56,0,7.2,95,0.9,861,6.4,0,0.5,0,"No Holiday"
"06","04",2020,50,1,7.2,95,0.2,683,6.4,0,0.5,0,"No Holiday"
"06","04",2020,27,2,7.3,96,1,337,6.6,0,1.5,0,"No Holiday"
"06","04",2020,18,3,7.2,96,0.8,349,6.5,0,2,0,"No Holiday"
"06","04",2020,9,4,6.8,97,2.2,453,6.3,0,2,0,"No Holiday"
"06","04",2020,54,5,6.3,97,1.7,787,5.8,0,0.5,0,"No Holiday"
"06","04",2020,178,6,6.1,96,2.1,798,5.5,0,0,0,"No Holiday"
"06","04",2020,591,7,5.7,95,3.4,1136,4.9,0.02,0,0,"No Holiday"
"06","04",2020,1235,8,5.9,90,2.8,1820,4.3,0.32,0,0,"No Holiday"
"06","04",2020,719,9,6.9,83,2.2,1666,4.2,0.83,0,0,"No Holiday"
"06","04",2020,529,10,8,73,2.8,1641,3.4,1.44,0,0,"No Holiday"
"06","04",2020,598,11,8.3,69,4.1,1217,2.9,1.81,0,0,"No Holiday"
"06","04",2020,756,12,6.7,71,4.6,543,1.8,1.05,0,0,"No Holiday"
"06","04",2020,683,13,7.9,58,4.3,488,0.1,1.88,0,0,"No Holiday"
"06","04",2020,572,14,7.4,56,3.5,461,-0.8,1.04,0,0,"No Holiday"
"06","04",2020,545,15,6.8,50,4.1,660,-2.9,0.56,0,0,"No Holiday"
"06","04",2020,585,16,6.6,50,4,645,-3.1,0.81,0,0,"No Holiday"
"06","04",2020,776,17,6.3,50,4.4,707,-3.3,0.64,0,0,"No Holiday"
"06","04",2020,1114,18,5.9,43,5.3,859,-5.7,0.62,0,0,"No Holiday"
"06","04",2020,659,19,4.8,48,3.8,1126,-5.3,0.17,0,0,"No Holiday"
"06","04",2020,508,20,4.3,59,4.6,991,-3,0,0,0,"No Holiday"
"06","04",2020,447,21,4,67,3,794,-1.5,0,0,0,"No Holiday"
"06","04",2020,499,22,3.9,68,3,737,-1.4,0,0,0,"No Holiday"
"06","04",2020,312,23,3.8,75,4.1,604,-0.2,0,0,0,"No Holiday"
"07","04",2020,282,0,3,67,3.3,945,-2.5,0,0,0,"No Holiday"
"07","04",2020,225,1,2.6,67,2.7,1053,-2.9,0,0,0,"No Holiday"
"07","04",2020,123,2,1.8,81,2.9,325,-1.1,0,0,0,"No Holiday"
"07","04",2020,122,3,1.5,82,3.5,372,-1.2,0,0.1,0,"No Holiday"
"07","04",2020,80,4,1.6,70,3.6,1392,-3.2,0,0.1,0,"No Holiday"
"07","04",2020,57,5,1.6,62,4.9,1372,-4.9,0,0,0,"No Holiday"
"07","04",2020,108,6,1.7,58,3.8,1189,-5.6,0,0,0,"No Holiday"
"07","04",2020,206,7,1.9,51,4.9,1297,-7.1,0.07,0,0,"No Holiday"
"07","04",2020,399,8,2.4,44,4.3,1375,-8.6,0.41,0,0,"No Holiday"
"07","04",2020,426,9,3.4,37,3.6,1668,-9.9,1.07,0,0,"No Holiday"
"07","04",2020,453,10,4.3,31,4.9,1661,-11.3,1.77,0,0,"No Holiday"
"07","04",2020,553,11,4.7,26,4.8,1927,-13.2,1.55,0,0,"No Holiday"
"07","04",2020,697,12,6,23,4.2,1990,-13.6,2,0,0,"No Holiday"
"07","04",2020,852,13,7.4,22,4.5,1964,-12.9,2.98,0,0,"No Holiday"
"07","04",2020,919,14,8.1,24,4.7,1914,-11.3,2.99,0,0,"No Holiday"
"07","04",2020,925,15,7.6,36,5,1928,-6.5,1.39,0,0,"No Holiday"
"07","04",2020,897,16,7.9,34,4.7,1979,-7,1.09,0,0,"No Holiday"
"07","04",2020,908,17,7.6,36,5.3,2000,-6.5,1.8,0,0,"No Holiday"
"07","04",2020,714,18,6.4,43,3.7,2000,-5.2,0.92,0,0,"No Holiday"
"07","04",2020,518,19,4.9,47,3.5,2000,-5.4,0.2,0,0,"No Holiday"
"07","04",2020,458,20,4.2,44,4.1,2000,-6.9,0,0,0,"No Holiday"
"07","04",2020,443,21,3.8,39,3.2,2000,-8.9,0,0,0,"No Holiday"
"07","04",2020,426,22,3.5,41,2.8,2000,-8.5,0,0,0,"No Holiday"
"07","04",2020,368,23,3.1,39,3.1,2000,-9.5,0,0,0,"No Holiday"
"08","04",2020,325,0,2.9,46,2.2,2000,-7.6,0,0,0,"No Holiday"
"08","04",2020,224,1,2.4,46,1.7,2000,-8,0,0,0,"No Holiday"
"08","04",2020,191,2,2.2,49,1.9,2000,-7.4,0,0,0,"No Holiday"
"08","04",2020,141,3,2,50,2,2000,-7.3,0,0,0,"No Holiday"
"08","04",2020,90,4,1.7,51,1.3,2000,-7.3,0,0,0,"No Holiday"
"08","04",2020,59,5,1.3,51,1.6,2000,-7.7,0,0,0,"No Holiday"
"08","04",2020,101,6,0.9,52,1.1,2000,-7.8,0,0,0,"No Holiday"
"08","04",2020,159,7,0.9,54,0.8,2000,-7.3,0.11,0,0,"No Holiday"
"08","04",2020,332,8,2.9,53,1.5,1892,-5.7,0.68,0,0,"No Holiday"
"08","04",2020,405,9,5.1,46,2.7,1888,-5.5,1.34,0,0,"No Holiday"
"08","04",2020,494,10,6.3,39,2.8,2000,-6.6,1.55,0,0,"No Holiday"
"08","04",2020,586,11,6.4,29,2.7,2000,-10.3,0.9,0,0,"No Holiday"
"08","04",2020,709,12,6.9,30,1.8,1994,-9.5,0.85,0,0,"No Holiday"
"08","04",2020,847,13,7.4,27,1.8,2000,-10.4,0.86,0,0,"No Holiday"
"08","04",2020,777,14,7.9,27,1,1985,-9.9,0.75,0,0,"No Holiday"
"08","04",2020,343,15,7.3,38,0.8,2000,-6.1,0.38,0,0,"No Holiday"
"08","04",2020,137,16,6.1,65,1.5,1465,0,0.21,0,0,"No Holiday"
"08","04",2020,58,17,4.3,80,2.6,1357,1.1,0.23,0.1,0,"No Holiday"
"08","04",2020,22,18,3,89,1.5,283,1.3,0.07,1.9,0,"No Holiday"
"08","04",2020,44,19,2.5,94,1.8,349,1.6,0,1,0,"No Holiday"
"08","04",2020,93,20,2.7,90,1.5,639,1.2,0,0,0,"No Holiday"
"08","04",2020,170,21,2.8,88,2.1,592,1,0,0,0,"No Holiday"
"08","04",2020,177,22,2.7,88,2,621,0.9,0,0,0,"No Holiday"
"08","04",2020,182,23,2.9,85,0.9,829,0.6,0,0,0,"No Holiday"
"09","04",2020,197,0,3.2,84,0.6,785,0.7,0,0,0,"No Holiday"
"09","04",2020,140,1,2.8,87,0.8,462,0.8,0,0,0,"No Holiday"
"09","04",2020,97,2,2.2,88,0.5,508,0.4,0,0,0,"No Holiday"
"09","04",2020,52,3,1.6,94,0.3,426,0.7,0,0,0,"No Holiday"
"09","04",2020,43,4,1.1,95,0.5,345,0.3,0,0,0,"No Holiday"
"09","04",2020,91,5,0.7,96,1,206,0.1,0,0,0,"No Holiday"
"09","04",2020,239,6,0.1,97,0.6,77,-0.3,0,0,0,"No Holiday"
"09","04",2020,651,7,0.6,97,1.3,66,0.1,0.05,0,0,"No Holiday"
"09","04",2020,1163,8,1,97,0.9,148,0.5,0.22,0,0,"No Holiday"
"09","04",2020,682,9,2.6,96,1.1,316,2,0.87,0,0,"No Holiday"
"09","04",2020,506,10,5.2,73,1,668,0.7,2.08,0,0,"No Holiday"
"09","04",2020,644,11,7.5,54,0.9,1013,-1.2,2.49,0,0,"No Holiday"
"09","04",2020,799,12,10.4,44,1.7,1235,-1.3,2.93,0,0,"No Holiday"
"09","04",2020,869,13,12.4,32,1.7,1441,-3.8,3.06,0,0,"No Holiday"
"09","04",2020,921,14,13.9,26,2.5,1537,-5.3,2.99,0,0,"No Holiday"
"09","04",2020,1038,15,14.2,24,1.8,1743,-6.1,2.6,0,0,"No Holiday"
"09","04",2020,1185,16,15.3,24,1.5,1534,-5.1,2,0,0,"No Holiday"
"09","04",2020,1479,17,15.3,26,0.9,1257,-4.1,1.39,0,0,"No Holiday"
"09","04",2020,2401,18,14.8,24,1.3,1514,-5.6,0.69,0,0,"No Holiday"
"09","04",2020,1599,19,13.4,33,1.2,1356,-2.5,0.15,0,0,"No Holiday"
"09","04",2020,1362,20,11.7,34,0.9,1393,-3.6,0,0,0,"No Holiday"
"09","04",2020,1232,21,10.3,38,0.5,1433,-3.4,0,0,0,"No Holiday"
"09","04",2020,1069,22,9.6,41,0.5,1428,-3,0,0,0,"No Holiday"
"09","04",2020,623,23,9.6,43,1.2,1333,-2.3,0,0,0,"No Holiday"
"10","04",2020,485,0,9,46,1.2,1259,-2,0,0,0,"No Holiday"
"10","04",2020,376,1,9,44,1,1314,-2.6,0,0,0,"No Holiday"
"10","04",2020,250,2,8.8,43,1,1490,-3.1,0,0,0,"No Holiday"
"10","04",2020,149,3,8.1,48,0.8,1455,-2.2,0,0,0,"No Holiday"
"10","04",2020,102,4,7.5,48,1,1458,-2.8,0,0,0,"No Holiday"
"10","04",2020,123,5,7.1,53,0.8,1392,-1.8,0,0,0,"No Holiday"
"10","04",2020,370,6,6.9,51,0.9,1546,-2.5,0,0,0,"No Holiday"
"10","04",2020,981,7,7.2,50,1.1,1454,-2.5,0.1,0,0,"No Holiday"
"10","04",2020,1702,8,9.6,38,1.4,1527,-4,0.58,0,0,"No Holiday"
"10","04",2020,982,9,11.9,35,1.1,1664,-3.1,0.95,0,0,"No Holiday"
"10","04",2020,703,10,15.2,31,1.6,1757,-1.8,1.84,0,0,"No Holiday"
"10","04",2020,839,11,18.5,27,1.3,1610,-0.8,2.59,0,0,"No Holiday"
"10","04",2020,1023,12,20.5,37,4.6,1761,5.2,2.94,0,0,"No Holiday"
"10","04",2020,967,13,21.9,34,5.1,1861,5.3,2.77,0,0,"No Holiday"
"10","04",2020,913,14,21.2,35,7.4,1992,5.1,1.8,0,0,"No Holiday"
"10","04",2020,933,15,21.4,33,4.8,1998,4.4,1.63,0,0,"No Holiday"
"10","04",2020,1080,16,20.9,34,5.8,2000,4.4,1.37,0,0,"No Holiday"
"10","04",2020,1004,17,20.6,39,5.6,2000,6.1,0.74,0,0,"No Holiday"
"10","04",2020,1805,18,19.7,52,7.2,2000,9.5,0.2,0,0,"No Holiday"
"10","04",2020,1153,19,19.2,55,5.8,2000,9.9,0.01,0,0,"No Holiday"
"10","04",2020,336,20,19.1,58,6.1,2000,10.6,0,0,0,"No Holiday"
"10","04",2020,133,21,17.5,70,7.3,1634,11.9,0,0.5,0,"No Holiday"
"10","04",2020,75,22,15.8,83,5.4,691,12.9,0,1.5,0,"No Holiday"
"10","04",2020,212,23,15.1,83,4.1,1147,12.2,0,3,0,"No Holiday"
"11","04",2020,0,0,14.4,82,4.6,1041,11.3,0,0,0,"No Holiday"
"11","04",2020,0,1,13.6,81,3.6,886,10.3,0,0,0,"No Holiday"
"11","04",2020,0,2,12.7,80,3.9,885,9.3,0,0,0,"No Holiday"
"11","04",2020,0,3,11.6,81,3.1,687,8.4,0,0,0,"No Holiday"
"11","04",2020,0,4,10.2,83,3.5,554,7.4,0,0,0,"No Holiday"
"11","04",2020,0,5,9.7,84,1.7,447,7.1,0,0,0,"No Holiday"
"11","04",2020,0,6,9,86,2,442,6.7,0,0,0,"No Holiday"
"11","04",2020,0,7,8.8,85,1.1,438,6.4,0.11,0,0,"No Holiday"
"11","04",2020,0,8,9.7,77,1.6,519,5.8,0.68,0,0,"No Holiday"
"11","04",2020,0,9,11.8,59,2.1,975,4,1.44,0,0,"No Holiday"
"11","04",2020,0,10,13.3,51,4.1,1487,3.3,2.17,0,0,"No Holiday"
"11","04",2020,0,11,14.9,44,4,1468,2.7,2.75,0,0,"No Holiday"
"11","04",2020,0,12,15.7,46,3.9,1132,4,3.05,0,0,"No Holiday"
"11","04",2020,0,13,15.6,38,4.7,1558,1.3,3.32,0,0,"No Holiday"
"11","04",2020,0,14,16.4,28,3.4,1804,-2.1,3.16,0,0,"No Holiday"
"11","04",2020,0,15,17,28,3.5,1804,-1.6,2.9,0,0,"No Holiday"
"11","04",2020,0,16,16.9,23,4.4,1938,-4.4,2.39,0,0,"No Holiday"
"11","04",2020,0,17,16.2,22,4.1,2000,-5.5,1.73,0,0,"No Holiday"
"11","04",2020,0,18,15.2,21,2.9,2000,-7,0.94,0,0,"No Holiday"
"11","04",2020,0,19,13.2,28,2.9,2000,-4.9,0.22,0,0,"No Holiday"
"11","04",2020,0,20,11.9,33,2,2000,-3.8,0,0,0,"No Holiday"
"11","04",2020,0,21,11,34,2.1,2000,-4.2,0,0,0,"No Holiday"
"11","04",2020,0,22,10.3,42,1,1923,-2,0,0,0,"No Holiday"
"11","04",2020,0,23,9.7,45,2,1969,-1.6,0,0,0,"No Holiday"
"12","04",2020,504,0,9.5,40,2.4,1987,-3.4,0,0,0,"No Holiday"
"12","04",2020,374,1,8.9,40,2.1,2000,-3.9,0,0,0,"No Holiday"
"12","04",2020,269,2,8.1,45,1,2000,-3.1,0,0,0,"No Holiday"
"12","04",2020,182,3,7.8,49,1.4,1972,-2.2,0,0,0,"No Holiday"
"12","04",2020,98,4,7.5,53,1,1701,-1.4,0,0,0,"No Holiday"
"12","04",2020,144,5,7.1,57,0.8,1746,-0.8,0,0,0,"No Holiday"
"12","04",2020,375,6,7.1,55,1.8,1780,-1.3,0,0,0,"No Holiday"
"12","04",2020,1054,7,7.6,54,1.7,1690,-1.1,0.13,0,0,"No Holiday"
"12","04",2020,1789,8,8.9,48,1.1,1444,-1.5,0.69,0,0,"No Holiday"
"12","04",2020,952,9,11.5,43,1.7,1818,-0.6,1.43,0,0,"No Holiday"
"12","04",2020,686,10,13.8,39,2.3,1659,0,2.09,0,0,"No Holiday"
"12","04",2020,829,11,16.2,30,2.4,1700,-1.4,2.68,0,0,"No Holiday"
"12","04",2020,969,12,17.5,20,4.6,2000,-5.7,3.07,0,0,"No Holiday"
"12","04",2020,1029,13,18.1,18,5.1,1939,-6.6,3.2,0,0,"No Holiday"
"12","04",2020,990,14,18.8,27,4.9,1888,-0.6,3.13,0,0,"No Holiday"
"12","04",2020,1074,15,19.4,24,3.9,2000,-1.7,2.86,0,0,"No Holiday"
"12","04",2020,1273,16,18.8,23,4.2,1956,-2.7,2.39,0,0,"No Holiday"
"12","04",2020,1664,17,18.6,22,3.7,1978,-3.5,1.72,0,0,"No Holiday"
"12","04",2020,2359,18,17.9,16,3.7,2000,-8.3,0.92,0,0,"No Holiday"
"12","04",2020,1641,19,15.9,14,2.8,2000,-11.6,0.25,0,0,"No Holiday"
"12","04",2020,1319,20,14.2,15,2.6,2000,-12.1,0,0,0,"No Holiday"
"12","04",2020,1241,21,13.4,15,2.7,2000,-12.7,0,0,0,"No Holiday"
"12","04",2020,1142,22,13.5,15,2.2,2000,-12.6,0,0,0,"No Holiday"
"12","04",2020,772,23,12.6,16,1.7,2000,-12.6,0,0,0,"No Holiday"
"13","04",2020,525,0,11.4,22,1.5,2000,-9.6,0,0,0,"No Holiday"
"13","04",2020,432,1,10,23,0.7,2000,-10.2,0,0,0,"No Holiday"
"13","04",2020,257,2,9.7,23,1.4,2000,-10.4,0,0,0,"No Holiday"
"13","04",2020,167,3,9.9,27,1.3,2000,-8.2,0,0,0,"No Holiday"
"13","04",2020,112,4,9.7,29,1.8,2000,-7.5,0,0,0,"No Holiday"
"13","04",2020,156,5,9.1,34,0.9,2000,-5.9,0,0,0,"No Holiday"
"13","04",2020,368,6,8.3,35,0.3,2000,-6.2,0,0,0,"No Holiday"
"13","04",2020,999,7,8.8,33,1.2,2000,-6.6,0.11,0,0,"No Holiday"
"13","04",2020,1721,8,10.6,27,1.1,2000,-7.6,0.39,0,0,"No Holiday"
"13","04",2020,982,9,13.2,22,1.1,2000,-8,0.93,0,0,"No Holiday"
"13","04",2020,741,10,15.7,18,1.6,1980,-8.6,1.66,0,0,"No Holiday"
"13","04",2020,867,11,16.9,15,1.7,1994,-9.9,1.8,0,0,"No Holiday"
"13","04",2020,1095,12,18.2,15,1.6,2000,-8.9,2.27,0,0,"No Holiday"
"13","04",2020,973,13,19,15,1.4,2000,-8.2,2.02,0,0,"No Holiday"
"13","04",2020,1063,14,18.7,14,1.6,2000,-9.3,1.25,0,0,"No Holiday"
"13","04",2020,1108,15,18.6,15,0.9,1991,-8.5,0.81,0,0,"No Holiday"
"13","04",2020,1270,16,18.3,16,1,2000,-7.9,0.7,0,0,"No Holiday"
"13","04",2020,1662,17,18.1,16,1.4,2000,-8.1,0.45,0,0,"No Holiday"
"13","04",2020,2404,18,17.5,18,1.3,2000,-7.1,0.23,0,0,"No Holiday"
"13","04",2020,1641,19,16.9,19,0.5,2000,-6.9,0.06,0,0,"No Holiday"
"13","04",2020,1359,20,16.2,22,0.9,2000,-5.5,0,0,0,"No Holiday"
"13","04",2020,1311,21,16.4,24,2.9,1983,-4.2,0,0,0,"No Holiday"
"13","04",2020,1178,22,16.3,25,2,2000,-3.7,0,0,0,"No Holiday"
"13","04",2020,849,23,15.5,27,3.5,2000,-3.4,0,0,0,"No Holiday"
"14","04",2020,664,0,14.8,27,2.1,2000,-4,0,0,0,"No Holiday"
"14","04",2020,513,1,14.1,25,1.8,2000,-5.6,0,0,0,"No Holiday"
